8480.9,7942.6,7723.8,7575.5,7533.5,7542.9,7631.7,7861.6,8593.6,9102.9,9353.7,9313,9174,8955.6,8722.1,8671,8949.3,9416.5,10367.3,10299.7,10218.1,10209.3,9941,9339.5
8606.1,8097,7859.3,7672.2,7663.1,7645.4,7696.4,7921.8,8702.2,9336.4,9803.3,9854.9,9668.8,9359.9,9328.3,9161.1,9405.5,9948.7,10781.9,10690.6,10593,10543,10254.1,9558.8
8853.1,8311.3,8010.2,7895.5,7791.6,7831.2,7953.9,8079.6,8895.1,9663.1,10216.5,10323.6,10237.7,9874.2,9682.3,9547.5,9903.4,10479.2,11259.7,11146.4,11089.1,10980,10616.7,9831.6
9043.8,8413.5,8188,8032.5,7977.2,8034.3,8245.1,8865.2,9926.8,11106.6,11709.2,11940.2,11823.6,11397.1,11250.9,11157.6,11341.5,11779.9,12279.1,12159.1,11883.8,11659.2,11152.4,10321.9
9497,8958.7,8641.7,8536.8,8430.4,8507,8685.2,9237.1,10165.3,11222.5,11657,11728.2,11567.1,11141.5,10900.4,10811.3,11032.9,11422.9,12282.2,12211.7,11989.5,11946.1,11536.3,10662.3
9820.9,9138.8,8851.4,8709.1,8659.8,8678,8703,8986.2,10006.4,10838,11504,11656.6,11346.4,11000.5,10672.4,10550,10817.1,11384.1,12367.6,12474.7,12289.8,12146.1,11674.5,10701.3
9796.4,9230.4,8936.8,8729,8686.8,8745.6,9031.2,9809.2,11100.8,12234.9,12707.6,12820.8,12489.3,12100,11952.3,11768.1,12083.7,12522.6,13145.9,13105.4,12892.1,12711.7,12179.9,11067.5
10106.1,9492.7,9180.5,9048.4,8929.8,9041.1,9285,9997.3,11340.4,12579.5,13057.3,13170.7,12741.5,12298.4,12033.8,11979.2,12178.7,12646.6,13247.1,13298.2,13010.3,12851.9,12256.9,11184.8
10212.8,9543.2,9294.2,9049.9,9003.1,9107.2,9284.4,10085.6,11430.3,12523.6,12991.2,13012,12650.2,12150.6,11929.9,11757.2,12164.5,12598.9,13167.6,13224.1,12959.7,12770.6,12215.1,11131.8
10138.1,9496.7,9188.2,9019.5,8901.2,9029.6,9228.3,10042.4,11382.7,12814.2,13464.7,13662.7,13319.7,12900,12672.3,12523.1,12707.5,13085.6,13401.5,13456.6,13171.9,12921.6,12395.4,11401.8
10318,9644,9272.7,9087.3,9002.4,9091.9,9360.5,10112.2,11431.7,12683.5,13186.9,13339.3,12847.4,12419.7,12103,11999.2,12125.5,12403,12755.9,12774.1,12511.1,12455.7,12201.1,11345.4
10338.7,9595.6,9131.3,8988.6,8846.8,8868,8956.2,9328.8,10407.6,11545.7,12246.3,12437.2,12120.8,11823.7,11417.3,11319,11584.5,12108.5,12736.9,12904.7,12628.2,12510.2,12057.9,11155.2
10169.1,9478.8,9094.6,8900.2,8788.1,8865.9,8922.9,9301.9,10282.9,11309.8,11956.2,12179.3,11795.8,11336,11056.1,10851.8,11245.9,11941.7,12697.1,12869.8,12650.2,12531.1,11947.9,10913.8
9870.6,9269.2,8897.2,8734.9,8673.3,8783.4,9184.3,10165.3,11371.2,12704.7,13228,13295.5,12773.8,12339.7,12159.9,12093.8,12331.8,12802,13292,13359.9,13070.5,12892,12317.9,11160.4
10137.3,9489.6,9171.7,9013.9,8903.9,9025.4,9432.5,10402.4,11608.8,12835.9,13343.4,13577.9,13159.7,12708.6,12591.7,12486.3,12754.7,13191.4,13583.3,13657.4,13415.3,13167.5,12518.8,11326.3
10292.9,9627.5,9264.9,9047.4,9071.6,9064.4,9491.2,10517.4,11766.3,12834.5,13238.1,13313,12778,12215.9,12116.2,11905.3,12114.3,12559.1,13173.7,13448.6,13266.3,13074.9,12490.9,11246.3
10204.8,9551.4,9221.7,9064.3,9007.8,9074.1,9451.3,10459.6,11777.7,13068.4,13701.4,13906.1,13464.7,12999,12896.6,12763.9,12988.4,13483.2,13789.3,13787.8,13517,13239.1,12619.2,11406
10317.8,9620.5,9347.5,9191.4,9022.2,9144.1,9535.4,10587.8,11854.5,13195,13738.6,14004.8,13469.2,13001.4,12798.9,12673.4,12881,13253.5,13537.1,13573.2,13214.4,13028.9,12574.1,11485.1
10456,9651.9,9290.5,9051.6,8937.3,8960,9140.8,9551.6,10753.8,11978.7,12721.5,12922.8,12444.5,12097.6,11869.7,11643.1,11895.6,12452,12952.7,13062,12805.4,12679.7,12261.2,11247.8
10164.5,9412.6,9077.4,8876.2,8732.6,8788.9,8935.5,9343.6,10428.2,11675.6,12416,12802.3,12478.1,12127.2,11875.6,11710.6,12040,12658.8,13156.3,13267.7,13004.8,12784.1,12096.9,11014.9
9970.2,9238,8905.5,8730.4,8702,8800,9208.7,10313.4,11604.5,12889.6,13588.5,13647.4,13051.3,12527.1,12450.1,12283,12588.7,13005.7,13327.7,13438.7,13215,12970.7,12330.4,11115.1
10059.3,9357.1,9043.1,8902.9,8776.7,8877.9,9345.4,10390,11604.5,12809.7,13374.7,13562.9,12956.1,12393.3,12305.7,12103.5,12397.3,12883.8,13152.6,13423.2,13159.4,12877.8,12281.3,11049.2
9975,9328.3,8982.3,8837.2,8753,8778,9279.4,10349.8,11549.4,12624.6,13202.1,13422.2,12838.4,12336.6,12281.5,12173,12496.1,13138.7,13443.8,13298.9,12983.4,12713.5,12105.7,10903.3
9856.6,9200,8884.2,8748,8691.7,8826,9201,10288.4,11473.7,12481.8,12884.1,13051.9,12417.9,11936.9,11906.2,11692.6,11881.5,12186.5,12610.8,13116.6,12875.9,12684.2,12179.2,10988.3
9905.5,9236.9,8932.4,8740.2,8672,8772.3,9260.7,10314.8,11496.4,12777,13359.4,13550.4,12977.3,12431.4,12367.4,12132,12431.5,12764,13042.1,13278.9,12952.2,12782.7,12318.2,11257.1
10114.1,9385.2,8960.1,8772.5,8650.7,8775.7,8938.6,9513.3,10569.9,11581.2,12047.2,12170.5,11563.3,11182.4,10982.1,10735.4,10947.2,11422.3,12012.8,12546,12347.2,12277.1,11819.2,10839.4
9759.6,9054.7,8683.6,8497.4,8427,8564.8,8750.5,9271.2,10332.4,11370.1,11894.3,12013.7,11515.3,11027.7,10849.9,10652.4,10881.7,11444.9,12036.4,12576,12446.3,12329,11744.8,10560.4
